housing_type;district;rooms;is_studio;total_area;living_area;kitchen_area;floor;num_floors;bathrooms_type;num_loggia;num_balcony;kitchen_and_living;condition;ceiling_height;nearest_metro_st;minutes_to_metro;num_freight_lift;num_passenger_lift;parking_type;building_type;furniture;price;deal_type;house_completion_year;first_floor_is_com;playground
Новостройка;Ленинский;2;Нет;65,55043187;29,81846731;19,93099895;2,032235862;15,71626068;Раздельный;0;0;Да;Без отделки;2.7 ;Заречная;5;0,999023156;0,984563197;Подземная;Монолитный;Нет;10 523 549;Долевое участие (214-ФЗ);2032,959777;Да;Да
Вторичка;Приокский;3;Нет;55,45380789;33,03841893;8,388592182;8,771489745;9,44035681;Раздельный;0;1;Нет;Требует ремонта;2.6 ;Нет;;0,965739624;0,986288461;Открытая;Панельный;Нет;7 255 788;Свободная продажа;1877,028047;Нет;Да
Вторичка;Советский;2;Нет;42,66186842;33,91346141;7,700844071;2,919993268;8,609223488;Раздельный;1;0;Нет;Дизайнерский;2.5 ;Нет;;0;1,00794055;Открытая;Кирпичный;Да;7 349 404;Свободная продажа;2031,515967;Нет;Да
Вторичка;Ленинский;1;Да;20,84143556;12,42168657;4,133570236;1,98328028;3,058477466;Совмещенный;0;1;Да;Евро;2.5 ;Двигатель революции;7;0;0;Открытая;Кирпичный;Да;3 133 712;Свободная продажа;2037,144022;Нет;Да
Новостройка;Канавинский;2;Нет;59,01909995;23,31289269;17,84853861;19,78708978;19,11845187;Раздельный;1;0;Да;Без отделки;2.7 ;Чкаловская;7;0,981956676;1,03824604;Открытая;Монолитный;Нет;11 087 988;Долевое участие (214-ФЗ);2060,069652;Да;Да
Новостройка;Кстовский;1;Нет;29,49546584;12,11185274;7,654318193;14,23387244;25,71264944;Совмещенный;0;0;Да;Чистовая;2.7 ;Нет;;1,038588381;1,02786965;Открытая;Панельный;Нет;5 655 033;Долевое участие (214-ФЗ);1960,488419;Да;Да
Вторичка;Советский;2;Нет;42,53231706;34,1106585;7,701859214;2,869221407;9,203103835;Раздельный;1;0;Нет;Дизайнерский;2.5 ;Нет;;0;0,976925939;Открытая;Кирпичный;Да;7 408 454;Свободная продажа;1943,794127;Нет;Да
Новостройка;Советский;2;Нет;70,24691728;32,66436779;17,97420011;17,72116477;18,81340844;Раздельный;0;0;Да;Чистовая;2.7 ;Горьковская;17;1,004594916;1,02667091;Подземная;Панельный;Нет;13 521 861;Долевое участие (214-ФЗ);2075,515762;Да;Да
Новостройка;Ленинский;1;Да;24,88001549;8,630226688;7,580413243;4,975853875;30,46806993;Совмещенный;0;0;Да;Без отделки;2.6;Ленинская ;7;1,036387259;1,048405647;Подземная, открытая;Монолитно-кирпичный;Нет;6 179 798;Долевое участие (214-ФЗ);2046,054315;Да;Да
Новостройка;Сормовский;1;Нет;38,22622271;13,39631145;14,51579138;12,72170105;18,78172811;Совмещенный;0;0;Да;Без отделки;2.5 ;Нет;;0,988634154;1,022404289;Открытая;Монолитный;Нет;6 691 806;Долевое участие (214-ФЗ);1944,375961;Да;Да
Вторичка;Канавинский ;1;Нет;30,56799476;19,5361217;5,827008202;3,986417087;3,807437798;Совмещенный;0;1;Нет;Косметический;2.5 ;Московская ;8;0;0;Открытая;Кирпичный;Нет;4 535 236;Свободная продажа;2053,908223;Нет;Нет
Новостройка;Советский;2;Нет;59,02703221;27,76664562;13,39138552;4,189183742;17,34476367;Раздельный;0;0;Да;Без отделки;2.7 ;Горьковская;27;1,026660459;1,008316689;Подземная;Монолитный;Нет;11 335 442;Долевое участие (214-ФЗ);2009,302939;Да;Да
Новостройка;Нижегородский;2;Нет;61,24202751;29,38275349;17,71232064;2,915477529;18,55994926;Совмещенный;0;0;Да;Без отделки;2.7 ;Нет;;1,010751871;0,971442644;Подземная, открытая;Монолитный;Нет;8 697 328;Долевое участие (214-ФЗ);2029,74175;Да;Да
Новостройка;Канавинский;1;Да;23,06107028;12,81183583;5,021149517;1,933600898;24,41400614;Совмещенный;1;0;Да;Предчистовая;2.7 ;Чкаловская;10;1,945743333;2,010191928;Подземная, открытая;Монолитно-кирпичный;Нет;4 893 688;Долевое участие (214-ФЗ);1987,48848;Да;Да
Новостройка;Нижегородский;1;Нет;38,86599445;23,77274783;17,54776062;19,58138684;33,03519655;Совмещенный;0;0;Да;Без отделки;2.7 ;Нет;;1,003398193;1,047504874;Подземная;Монолитный;Нет;15 892 558;Долевое участие (214-ФЗ);2121,695098;Да;Да
Вторичка;Московский;2;Нет;41,42614275;28,1489291;5,339094652;1,985417277;4,159236533;Совмещенный;0;0;Нет;Косметический;2.7 ;Нет;;0;0;Открытая;Кирпичный;Да;4 973 624;Альтернативная;1987,394583;Нет;Да
Новостройка;Сормовский;2;Нет;59,21981694;28,13530797;14,48836449;2,082987987;19,80088384;Раздельный;0;0;Да;Без отделки;2.7 ;Нет;;1,012149305;0,951712654;Подземная, открытая;Монолитный;Нет;8 156 014;Долевое участие (214-ФЗ);1961,428147;Да;Да
Вторичка;Советский;3;Нет;55,41220023;40,0125115;8,048957366;3,977720359;4,760140237;Совмещенный;0;1;Нет;Евро;2.6;Нет;;0;0;Открытая;Кирпичный;Нет;7 666 465;Свободная продажа;2023,585238;Нет;Нет
Новостройка;Нижегородский;2;Нет;53,4581824;22,09175903;13,50305604;1,925463123;24,14410039;Раздельный;0;0;Да;Без отделки;2.7 ;Нет;;0,989879755;0,982129478;Подземная;Панельный;Нет;9 156 885;Долевое участие (214-ФЗ);2114,748192;Да;Да
Вторичка;Московский;1;Нет;30,64768662;20,91936398;4,912286511;3,147439818;5,721703942;Совмещенный;0;1;Нет;Косметический;2.6;Нет;;0;0;Открытая;Кирпичный;Нет;3 639 711;Свободная продажа;1970,662832;Нет;Да
